DyadID,ParticipantID,TrialNum,ROI,Coh_PRE,Coh_POST
1,1,1,Frontal,0.242872,0.230322
1,1,1,Central,0.174297,0.178241
1,1,1,Parietal,0.272421,0.275648
1,1,1,Left,0.240105,0.222392
1,1,1,Right,0.247499,0.271243
1,1,1,FrontoParietal,0.240708,0.241140
1,1,2,Frontal,0.219190,0.224842
1,1,2,Central,0.193742,0.201706
1,1,2,Parietal,0.211964,0.257781
1,1,2,Left,0.209058,0.242532
1,1,2,Right,0.219283,0.227526
1,1,2,FrontoParietal,0.205601,0.232307
1,1,3,Frontal,0.222180,0.221590
1,1,3,Central,0.175161,0.197455
1,1,3,Parietal,0.219269,0.249905
1,1,3,Left,0.218037,0.218110
1,1,3,Right,0.234015,0.244335
1,1,3,FrontoParietal,0.214635,0.226037
1,1,4,Frontal,0.211532,0.222293
1,1,4,Central,0.203648,0.156231
1,1,4,Parietal,0.224510,0.260498
1,1,4,Left,0.230730,0.221511
1,1,4,Right,0.222477,0.258290
1,1,4,FrontoParietal,0.206992,0.223950
1,1,5,Frontal,0.207053,0.214963
1,1,5,Central,0.169224,0.161903
1,1,5,Parietal,0.220007,0.251595
1,1,5,Left,0.228121,0.219751
1,1,5,Right,0.219707,0.260684
1,1,5,FrontoParietal,0.214643,0.226626
1,1,6,Frontal,0.193170,0.226264
1,1,6,Central,0.184333,0.167943
1,1,6,Parietal,0.212659,0.242396
1,1,6,Left,0.210259,0.231694
1,1,6,Right,0.208428,0.253335
1,1,6,FrontoParietal,0.191649,0.219112
1,1,7,Frontal,0.236378,0.247038
1,1,7,Central,0.217256,0.237194
1,1,7,Parietal,0.259870,0.291156
1,1,7,Left,0.302665,0.307526
1,1,7,Right,0.215436,0.238411
1,1,7,FrontoParietal,0.232117,0.242094
1,1,8,Frontal,0.222719,0.220152
1,1,8,Central,0.248543,0.191974
1,1,8,Parietal,0.245930,0.228464
1,1,8,Left,0.247112,0.227995
1,1,8,Right,0.229331,0.221088
1,1,8,FrontoParietal,0.213783,0.215884
1,1,9,Frontal,0.234024,0.199659
1,1,9,Central,0.186870,0.168237
1,1,9,Parietal,0.260376,0.247511
1,1,9,Left,0.245633,0.226107
1,1,9,Right,0.261733,0.238641
1,1,9,FrontoParietal,0.242552,0.212068
1,1,10,Frontal,0.205572,0.208511
1,1,10,Central,0.170562,0.178631
1,1,10,Parietal,0.235957,0.225768
1,1,10,Left,0.223920,0.228090
1,1,10,Right,0.215589,0.220774
1,1,10,FrontoParietal,0.209895,0.201376
1,1,11,Frontal,0.219357,0.221342
1,1,11,Central,0.199865,0.140997
1,1,11,Parietal,0.266820,0.248344
1,1,11,Left,0.238338,0.216604
1,1,11,Right,0.251350,0.248532
1,1,11,FrontoParietal,0.223300,0.224498
1,1,12,Frontal,0.203326,0.210252
1,1,12,Central,0.193402,0.168012
1,1,12,Parietal,0.206219,0.231316
1,1,12,Left,0.223656,0.225642
1,1,12,Right,0.202710,0.239380
1,1,12,FrontoParietal,0.196106,0.212774
1,1,13,Frontal,0.215392,0.225952
1,1,13,Central,0.168625,0.192604
1,1,13,Parietal,0.219010,0.255676
1,1,13,Left,0.247049,0.240749
1,1,13,Right,0.232804,0.265680
1,1,13,FrontoParietal,0.208763,0.229060
1,1,14,Frontal,0.209057,0.214166
1,1,14,Central,0.193522,0.171603
1,1,14,Parietal,0.235639,0.230013
1,1,14,Left,0.234360,0.227048
1,1,14,Right,0.227879,0.226889
1,1,14,FrontoParietal,0.200204,0.210517
1,1,15,Frontal,0.217106,0.192168
1,1,15,Central,0.217464,0.166381
1,1,15,Parietal,0.227729,0.224855
1,1,15,Left,0.248398,0.227562
1,1,15,Right,0.216182,0.230604
1,1,15,FrontoParietal,0.208858,0.204968
1,1,16,Frontal,0.206693,0.208104
1,1,16,Central,0.207809,0.162574
1,1,16,Parietal,0.248087,0.238451
1,1,16,Left,0.233041,0.214896
1,1,16,Right,0.234255,0.230970
1,1,16,FrontoParietal,0.211212,0.212811
1,1,17,Frontal,0.219641,0.211946
1,1,17,Central,0.186610,0.206086
1,1,17,Parietal,0.259432,0.269176
1,1,17,Left,0.225490,0.219816
1,1,17,Right,0.226554,0.241853
1,1,17,FrontoParietal,0.206742,0.220876
1,1,18,Frontal,0.207574,0.196606
