DyadID,ParticipantID,TrialNum,ClickPresence
1230807,1,1,2
1230807,1,2,1
1230807,1,3,2
1230807,1,4,2
1230807,1,5,2
1230807,1,6,2
1230807,1,7,2
1230807,1,8,1
1230807,1,9,2
1230807,1,10,0
1230807,1,11,2
1230807,1,12,2
1230807,1,13,2
1230807,1,14,3
1230807,1,15,2
1230807,1,16,2
1230807,1,17,2
1230807,1,18,2
1230807,2,1,3
1230807,2,2,4
1230807,2,3,2
1230807,2,4,4
1230807,2,5,4
1230807,2,6,3
1230807,2,7,3
1230807,2,8,4
1230807,2,9,3
1230807,2,10,4
1230807,2,11,0
1230807,2,12,3
1230807,2,13,3
1230807,2,14,3
1230807,2,15,4
1230807,2,16,4
1230807,2,17,4
1230807,2,18,3
2230809,1,1,3
2230809,1,2,0
2230809,1,3,3
2230809,1,4,4
2230809,1,5,4
2230809,1,6,4
2230809,1,7,4
2230809,1,8,4
2230809,1,9,4
2230809,1,10,4
2230809,1,11,3
2230809,1,12,3
2230809,1,13,4
2230809,1,14,4
2230809,1,15,4
2230809,1,16,4
2230809,1,17,3
2230809,1,18,4
2230809,2,1,3
2230809,2,2,3
2230809,2,3,4
2230809,2,4,4
2230809,2,5,4
2230809,2,6,3
2230809,2,7,4
2230809,2,8,4
2230809,2,9,4
2230809,2,10,4
2230809,2,11,3
2230809,2,12,0
2230809,2,13,3
2230809,2,14,4
2230809,2,15,4
2230809,2,16,3
2230809,2,17,3
2230809,2,18,4
3230814,1,1,2
3230814,1,2,2
3230814,1,3,2
3230814,1,4,2
3230814,1,5,3
3230814,1,6,2
3230814,1,7,0
3230814,1,8,4
3230814,1,9,2
3230814,1,10,3
3230814,1,11,2
3230814,1,12,2
3230814,1,13,2
3230814,1,14,2
3230814,1,15,2
3230814,1,16,3
3230814,1,17,3
3230814,1,18,4
3230814,2,1,2
3230814,2,2,3
3230814,2,3,2
3230814,2,4,2
3230814,2,5,2
3230814,2,6,2
3230814,2,7,3
3230814,2,8,3
3230814,2,9,2
3230814,2,10,2
3230814,2,11,3
3230814,2,12,2
3230814,2,13,3
3230814,2,14,0
3230814,2,15,4
3230814,2,16,2
3230814,2,17,4
3230814,2,18,4
4230816,1,1,2
4230816,1,2,2
4230816,1,3,1
4230816,1,4,3
4230816,1,5,2
4230816,1,6,2
4230816,1,7,2
4230816,1,8,3
4230816,1,9,2
4230816,1,10,2
4230816,1,11,0
4230816,1,12,2
4230816,1,13,3
4230816,1,14,2
4230816,1,15,0
4230816,1,16,2
4230816,1,17,2
4230816,1,18,2
4230816,2,1,3
4230816,2,2,2
4230816,2,3,4
4230816,2,4,3
4230816,2,5,2
4230816,2,6,3
4230816,2,7,4
4230816,2,8,3
4230816,2,9,4
4230816,2,10,3
4230816,2,11,3
4230816,2,12,4
4230816,2,13,3
4230816,2,14,4
4230816,2,15,4
4230816,2,16,4
4230816,2,17,4
4230816,2,18,4
5230818,1,1,2
5230818,1,2,2
5230818,1,3,3
5230818,1,4,2
5230818,1,5,0
5230818,1,6,3
5230818,1,7,3
5230818,1,8,3
5230818,1,9,3
5230818,1,10,3
5230818,1,11,3
5230818,1,12,0
5230818,1,13,3
5230818,1,14,3
5230818,1,15,3
5230818,1,16,3
5230818,1,17,3
5230818,1,18,3
5230818,2,1,2
5230818,2,2,3
5230818,2,3,2
5230818,2,4,2
5230818,2,5,3
5230818,2,6,4
5230818,2,7,3
5230818,2,8,3
5230818,2,9,2
5230818,2,10,2
5230818,2,11,3
5230818,2,12,2
5230818,2,13,2
